province/state,country/region,lat,long,total_infected
,Haiti,18.9712,-72.2852,22170826
,Holy See,41.9029,12.4534,26807
,Honduras,15.2,-86.2419,302670683
,Hungary,47.1625,19.5033,1142912051
,Iceland,64.9631,-19.0208,82359288
,India,20.593684,78.96288,29131119694
,Indonesia,-0.7893,113.9213,3692406698
,Iran,32.427908,53.688046,4612422449
,Iraq,33.223191,43.679291,1609076462
,Ireland,53.1424,-7.6921,801077962
,Israel,31.046051,34.851612,2221969354
,Italy,41.87194,12.56738,10083161678
,Jamaica,18.1096,-77.2975,82599171
,Japan,36.204824,138.252924,7338211631
,Jordan,31.24,36.51,991230386
,Kazakhstan,48.0196,66.9237,864952333
,Kenya,-0.0236,37.9062,221315836
,Kiribati,-3.3704,-168.734,1396540
,"Korea, North",40.3399,127.5101,300
,"Korea, South",35.907757,127.766922,8467888968
,Kosovo,42.602636,20.902977,152691820
,Kuwait,29.31166,47.481766,413219780
,Kyrgyzstan,41.20438,74.766098,146035075
,Laos,19.85627,102.495496,92246655
,Latvia,56.8796,24.6032,412014336
,Lebanon,33.8547,35.8623,695765599
,Lesotho,-29.61,28.2336,19994674
,Liberia,6.428055,-9.429499,5024859
,Libya,26.3351,17.228331,308848756
,Liechtenstein,47.14,9.55,8971160
,Lithuania,55.1694,23.8813,608270188
,Luxembourg,49.8153,6.1296,141673313
,MS Zaandam,0.0,0.0,9665
,Madagascar,-18.766947,46.869107,44143489
,Malawi,-13.2543,34.3015,54666386
,Malaysia,4.210484,101.975766,2374175078
,Maldives,3.2028,73.2207,99525516
,Mali,17.570692,-3.996166,19265306
,Malta,35.9375,14.3754,55970183
,Marshall Islands,7.1315,171.1845,3135141
,Mauritania,21.0079,-10.9408,37307802
,Mauritius,-20.348404,57.552152,104989937
,Mexico,23.6345,-102.5528,3944108014
,Micronesia,7.4256,150.5508,4073178
,Moldova,47.4116,28.3699,342675759
,Monaco,43.7333,7.4167,6720550
,Mongolia,46.8625,103.8467,487716693
,Montenegro,42.708678,19.37439,153358754
,Morocco,31.7917,-7.0926,802955610
,Mozambique,-18.665695,35.529562,136885472
,Namibia,-22.9576,18.4904,104777930
,Nauru,-0.5228,166.9315,1184912
,Nepal,28.1667,84.25,653536904
Aruba,Netherlands,12.5211,-69.9683,22046253
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,4937810
Curacao,Netherlands,12.1696,-68.99,23320332
Sint Maarten,Netherlands,18.0425,-63.0548,5714520
,Netherlands,52.1326,5.2913,4053844551
Cook Islands,New Zealand,-21.2367,-159.7777,2100967
Niue,New Zealand,-19.0544,-169.8672,69378
,New Zealand,-40.9006,174.886,587613164
,Nicaragua,12.865416,-85.207229,10111277
,Niger,17.607789,8.081666,6313963
,Nigeria,9.082,8.6753,188300124
,North Macedonia,41.6086,21.7453,202398382
,Norway,60.472,8.4689,646890941
,Oman,21.512583,55.923255,273461449
,Pakistan,30.3753,69.3451,1079772495
,Palau,7.515,134.5825,2074263
,Panama,8.538,-80.7821,558467809
,Papua New Guinea,-6.314993,143.95555,24996001
,Paraguay,-23.4425,-58.4438,434528549
,Peru,-9.19,-75.0152,2499413018
,Philippines,12.879721,121.774017,2281636877
,Poland,51.9194,19.1451,3643680024
,Portugal,39.3999,-8.2245,2405740042
,Qatar,25.3548,51.1839,282392958
,Romania,45.9432,24.9668,1760871192
,Russia,61.52401,105.318756,10578569842
,Rwanda,-1.9403,29.8739,77702485
,Saint Kitts and Nevis,17.357822,-62.782998,2981130
,Saint Lucia,13.9094,-60.9789,13983991
,Saint Vincent and the Grenadines,12.9843,-61.2872,4860875
,Samoa,-13.759,-172.1046,4965233
,San Marino,43.9424,12.4578,10185486
,Sao Tome and Principe,0.1864,6.6131,3753278
,Saudi Arabia,23.885942,45.079162,576241072
,Senegal,14.4974,-14.4524,59667120
,Serbia,44.0165,21.0059,1229634680
,Seychelles,-4.6796,55.492,24270209
,Sierra Leone,8.460555,-11.779889,5661556
,Singapore,1.2833,103.8333,723549534
,Slovakia,48.669,19.699,1354411039
,Slovenia,46.1512,14.9955,571300536
,Solomon Islands,-9.6457,160.1562,7770208
,Somalia,5.152149,46.199616,17864013
,South Africa,-30.5595,22.9375,2613099489
,South Sudan,6.877,31.307,11968118
,Spain,40.463667,-3.74922,7071275148
,Sri Lanka,7.873054,80.771797,394357499
,Sudan,12.8628,30.2176,42936981
,Summer Olympics 2020,35.6491,139.7737,498688
,Suriname,3.9193,-56.0278,44282284
,Sweden,60.128161,18.643501,1471014062
,Switzerland,46.8182,8.2275,1912980451
,Syria,34.802075,38.996815,35209217
,Taiwan*,23.7,121.0,1966380260
,Tajikistan,38.861,71.2761,15269261
,Tanzania,-6.369028,34.888822,19173667
,Thailand,15.870032,100.992541,2095658184
,Timor-Leste,-8.874217,125.727539,13419221
,Togo,8.6195,0.8248,22732219
,Tonga,-21.179,-175.1982,4975228
,Trinidad and Tobago,10.6918,-61.2225,83638566
,Tunisia,33.886917,9.537499,644407283
,Turkey,38.9637,35.2433,8840742699
,Tuvalu,-7.1095,177.6493,322901
,US,40.0,-100.0,53813184406
,Uganda,1.373333,32.290275,103587926
,Ukraine,48.3794,31.1656,3190613850
,United Arab Emirates,23.424076,53.847818,653554125
Anguilla,United Kingdom,18.2206,-63.0686,1584536
Bermuda,United Kingdom,32.3078,-64.7505,7960882
British Virgin Islands,United Kingdom,18.4207,-64.64,3442495
Cayman Islands,United Kingdom,19.3133,-81.2546,11971733
Channel Islands,United Kingdom,49.3723,-2.3644,0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,604830
Gibraltar,United Kingdom,36.1408,-5.3536,9926484
Guernsey,United Kingdom,49.448196,-2.58949,12210394
Isle of Man,United Kingdom,54.2361,-4.5481,16241537
Jersey,United Kingdom,49.2138,-2.1358,25842646
Montserrat,United Kingdom,16.742498,-62.187366,414462
Pitcairn Islands,United Kingdom,-24.3768,-128.3242,932
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,353859
